latitude,longitude,data_hora,temperatura_ar,umidade_relativa,velocidade_vento,direcao_vento,precipitacao,indice_seca,temperatura_superficie,radiacao_solar,concentracao_CO,concentracao_CO2,concentracao_PM25,frp,intensidade_foco,tipo_cobertura_solo,indice_vegetacao_ndvi,deteccao_foco
-10.1116,-50.5759,2025-06-02 15:45:00,36.8,23,3.4,268,0,0.51,40.9,517,1.09,383,24,0,alta,floresta,0.28,1
-10.1772,-50.5024,2025-06-02 15:50:00,40.0,35,6.6,171,0,0.87,43.7,853,1.33,444,43,50,media,floresta,0.55,0
-10.1788,-50.5198,2025-06-02 15:55:00,39.2,38,5.0,181,0,0.88,37.8,562,1.11,394,26,200,nenhuma,solo exposto,0.62,0
-10.1389,-50.504,2025-06-02 16:00:00,35.7,48,4.6,268,2,0.67,42.1,649,1.06,455,8,200,nenhuma,solo exposto,0.62,0
-10.1589,-50.5512,2025-06-02 16:05:00,33.1,36,3.1,264,2,0.86,42.7,638,1.14,401,17,0,baixa,solo exposto,0.65,0
-10.116,-50.589,2025-06-02 16:10:00,35.6,17,7.5,93,0,0.76,39.7,685,0.72,426,49,0,media,floresta,0.72,0
-10.11,-50.5452,2025-06-02 16:15:00,37.4,26,3.8,224,2,0.63,52.7,684,1.32,425,46,0,nenhuma,pastagem,0.5,1
-10.1647,-50.5546,2025-06-02 16:20:00,29.4,42,1.6,198,2,0.41,30.4,704,0.34,393,54,200,baixa,solo exposto,0.64,0
-10.1763,-50.5156,2025-06-02 16:25:00,32.9,44,5.3,252,0,0.58,49.6,759,0.23,429,53,90,baixa,pastagem,0.57,1
-10.1219,-50.5902,2025-06-02 16:30:00,38.1,40,1.8,137,1,0.64,33.1,713,0.46,399,24,0,nenhuma,pastagem,0.31,1
-10.1725,-50.5512,2025-06-02 16:35:00,32.6,35,3.4,162,0,0.82,49.9,755,0.82,429,56,0,baixa,pastagem,0.22,0
-10.1177,-50.585,2025-06-02 16:40:00,34.9,42,4.6,161,0,0.59,45.4,634,0.79,412,17,0,alta,floresta,0.37,0
-10.1576,-50.5675,2025-06-02 16:45:00,35.1,40,7.1,205,1,0.84,51.1,560,1.24,438,21,200,nenhuma,pastagem,0.47,0
-10.1332,-50.5263,2025-06-02 16:50:00,30.2,47,4.5,262,0,0.7,32.4,862,0.64,422,58,0,nenhuma,solo exposto,0.57,0
-10.1904,-50.5524,2025-06-02 16:55:00,32.3,35,5.9,170,3,0.38,44.0,809,0.75,458,40,150,nenhuma,floresta,0.71,0
-10.1376,-50.5624,2025-06-02 17:00:00,32.0,49,7.9,170,0,0.9,42.5,587,0.07,391,37,0,alta,solo exposto,0.32,0
-10.1548,-50.5606,2025-06-02 17:05:00,28.3,48,1.9,202,2,0.62,47.7,823,0.64,419,5,50,alta,solo exposto,0.28,0
-10.1413,-50.5541,2025-06-02 17:10:00,28.3,55,2.9,185,1,0.54,43.4,975,0.99,399,19,0,nenhuma,floresta,0.78,0
-10.1832,-50.5215,2025-06-02 17:15:00,38.0,32,3.8,161,0,0.7,43.5,706,0.07,417,17,90,media,solo exposto,0.26,1
-10.1263,-50.5108,2025-06-02 17:20:00,31.3,25,4.0,236,0,0.37,40.7,628,0.46,382,21,50,baixa,solo exposto,0.49,1
-10.1137,-50.5045,2025-06-02 17:25:00,34.2,37,3.9,152,1,0.68,37.7,810,0.35,407,28,0,baixa,floresta,0.55,1
-10.1783,-50.5213,2025-06-02 17:30:00,31.6,36,7.4,127,2,0.6,42.1,502,0.11,435,12,150,nenhuma,solo exposto,0.52,0
-10.1904,-50.5685,2025-06-02 17:35:00,39.3,31,6.0,156,0,0.54,33.0,961,0.74,392,54,0,nenhuma,pastagem,0.25,0
-10.1976,-50.5312,2025-06-02 17:40:00,31.1,19,5.3,158,0,0.87,54.0,921,0.31,456,31,150,nenhuma,solo exposto,0.23,0
-10.1358,-50.5562,2025-06-02 17:45:00,33.2,58,3.2,102,2,0.61,47.9,741,1.13,445,49,150,baixa,pastagem,0.26,0
-10.1393,-50.5745,2025-06-02 17:50:00,38.5,25,6.8,264,3,0.43,53.8,620,1.28,416,27,0,nenhuma,solo exposto,0.55,0
-10.1453,-50.5159,2025-06-02 17:55:00,38.1,44,7.7,120,1,0.58,35.7,884,0.84,428,50,50,alta,floresta,0.53,1
-10.1768,-50.5962,2025-06-02 18:00:00,30.2,29,6.7,203,0,0.85,52.0,601,1.47,445,12,50,nenhuma,floresta,0.34,1
-10.1609,-50.5098,2025-06-02 18:05:00,37.6,41,1.0,111,0,0.41,50.2,537,0.7,415,12,150,nenhuma,solo exposto,0.58,0
-10.1406,-50.5539,2025-06-02 18:10:00,33.5,49,5.5,182,0,0.43,46.9,840,0.79,433,30,50,baixa,floresta,0.69,0
-10.1503,-50.5363,2025-06-02 18:15:00,33.8,47,1.4,260,3,0.31,45.6,995,1.48,405,51,150,media,solo exposto,0.22,0
-10.1012,-50.5341,2025-06-02 18:20:00,29.6,34,2.8,156,0,0.31,37.9,912,0.39,454,17,200,nenhuma,floresta,0.5,0
-10.1864,-50.5105,2025-06-02 18:25:00,29.0,30,1.4,143,1,0.8,50.4,632,1.42,451,43,150,nenhuma,pastagem,0.61,0
-10.1305,-50.5363,2025-06-02 18:30:00,36.7,48,5.2,227,0,0.74,42.5,996,0.11,419,41,200,alta,solo exposto,0.35,0
-10.1596,-50.5386,2025-06-02 18:35:00,34.0,16,5.8,131,1,0.51,31.8,701,0.7,422,53,0,nenhuma,pastagem,0.38,0
-10.1572,-50.5933,2025-06-02 18:40:00,33.2,49,1.8,153,0,0.72,37.8,847,0.15,401,32,120,nenhuma,pastagem,0.57,1
-10.1282,-50.5482,2025-06-02 18:45:00,36.8,54,3.7,215,2,0.54,53.4,520,1.11,399,29,0,media,solo exposto,0.74,0
-10.1308,-50.585,2025-06-02 18:50:00,37.2,42,4.2,110,0,0.87,51.3,741,0.93,387,20,0,nenhuma,pastagem,0.69,1
-10.1009,-50.5263,2025-06-02 18:55:00,29.9,53,3.6,258,2,0.88,54.5,954,1.07,408,59,120,nenhuma,solo exposto,0.55,0
-10.1872,-50.5488,2025-06-02 19:00:00,35.3,20,1.8,241,2,0.54,45.7,950,0.59,419,6,0,nenhuma,pastagem,0.64,0
-10.1896,-50.532,2025-06-02 19:05:00,29.6,23,3.9,124,1,0.81,36.2,608,0.59,409,58,0,nenhuma,solo exposto,0.42,0
-10.1276,-50.5958,2025-06-02 19:10:00,37.0,34,6.3,119,0,0.76,34.1,802,0.12,434,22,90,nenhuma,solo exposto,0.58,0
-10.1422,-50.5915,2025-06-02 19:15:00,35.9,15,1.5,146,0,0.49,34.7,583,0.56,395,21,0,nenhuma,floresta,0.48,0
-10.1726,-50.5284,2025-06-02 19:20:00,39.5,22,1.6,136,0,0.44,30.5,582,1.4,425,34,50,nenhuma,solo exposto,0.31,1
-10.1921,-50.5928,2025-06-02 19:25:00,28.8,37,3.5,252,3,0.57,39.8,790,0.6,441,43,0,nenhuma,solo exposto,0.62,1
-10.1914,-50.5929,2025-06-02 19:30:00,28.7,17,7.6,108,0,0.77,34.8,951,1.26,386,17,50,media,pastagem,0.53,0
-10.1106,-50.5988,2025-06-02 19:35:00,31.4,18,5.7,203,3,0.88,40.3,568,1.27,459,36,120,nenhuma,solo exposto,0.42,0
-10.1808,-50.5043,2025-06-02 19:40:00,31.1,39,5.8,97,3,0.76,53.4,628,0.59,424,54,90,nenhuma,floresta,0.75,1
-10.1677,-50.5262,2025-06-02 19:45:00,31.0,52,3.5,115,0,0.81,40.8,695,0.97,438,33,120,alta,pastagem,0.21,0
-10.1773,-50.5647,2025-06-02 19:50:00,38.9,29,5.2,202,1,0.66,51.9,639,0.19,435,50,90,baixa,pastagem,0.39,0
-10.1645,-50.5703,2025-06-02 19:55:00,31.0,35,1.1,160,2,0.8,45.1,943,0.2,427,34,0,nenhuma,floresta,0.23,0
-10.1931,-50.565,2025-06-02 20:00:00,31.3,49,5.5,119,2,0.77,36.2,782,0.12,406,22,50,alta,pastagem,0.66,1
-10.1481,-50.5225,2025-06-02 20:05:00,37.1,28,7.4,224,2,0.53,38.9,811,0.89,432,17,120,nenhuma,pastagem,0.62,1
-10.1932,-50.5339,2025-06-02 20:10:00,33.4,50,5.3,156,0,0.63,32.1,733,0.67,452,47,90,nenhuma,pastagem,0.4,0
-10.12,-50.5815,2025-06-02 20:15:00,37.3,26,7.1,154,0,0.78,38.3,522,0.84,414,25,150,media,pastagem,0.61,1
-10.1766,-50.5826,2025-06-02 20:20:00,28.8,31,6.1,125,1,0.33,46.9,652,0.81,430,34,0,baixa,floresta,0.44,1
-10.146,-50.5902,2025-06-02 20:25:00,33.9,53,1.8,114,0,0.78,31.8,776,0.56,416,25,0,nenhuma,floresta,0.65,0
-10.112,-50.534,2025-06-02 20:30:00,28.4,23,7.3,126,0,0.41,35.1,560,1.03,436,52,120,nenhuma,pastagem,0.47,0
-10.1349,-50.5236,2025-06-02 20:35:00,28.8,49,1.5,90,1,0.61,39.5,818,1.15,387,59,50,baixa,pastagem,0.45,0
-10.1467,-50.5735,2025-06-02 20:40:00,38.9,27,4.7,232,3,0.78,54.6,877,0.07,458,21,150,nenhuma,floresta,0.76,1
-10.1676,-50.5979,2025-06-02 20:45:00,29.7,29,2.0,126,1,0.45,49.6,551,0.35,399,44,120,alta,floresta,0.35,0
-10.1667,-50.5918,2025-06-02 20:50:00,34.4,32,1.1,230,1,0.45,48.3,843,1.08,432,23,0,nenhuma,floresta,0.27,1
-10.1331,-50.5032,2025-06-02 20:55:00,32.9,47,4.0,225,2,0.54,32.9,652,0.61,391,56,90,alta,pastagem,0.55,0
-10.1006,-50.5705,2025-06-02 21:00:00,32.2,20,3.1,222,1,0.84,49.5,736,1.01,428,19,200,baixa,pastagem,0.78,1
-10.1338,-50.5231,2025-06-02 21:05:00,38.8,41,4.4,217,3,0.3,49.6,810,0.55,396,13,0,media,solo exposto,0.43,0
-10.1442,-50.5375,2025-06-02 21:10:00,28.3,37,5.0,216,3,0.84,45.0,801,0.62,443,56,0,media,floresta,0.24,0
-10.1269,-50.5618,2025-06-02 21:15:00,36.0,41,1.3,90,0,0.39,54.8,531,0.28,421,14,90,baixa,pastagem,0.4,1
-10.1535,-50.5794,2025-06-02 21:20:00,39.6,48,1.9,253,1,0.89,38.1,554,0.42,408,48,120,nenhuma,floresta,0.5,1
-10.194,-50.5879,2025-06-02 21:25:00,34.7,52,4.9,124,2,0.87,53.5,851,0.93,398,35,0,nenhuma,pastagem,0.3,1
-10.1438,-50.5385,2025-06-02 21:30:00,39.2,28,3.4,193,1,0.6,52.9,888,0.68,390,57,0,nenhuma,floresta,0.59,0
-10.1042,-50.5225,2025-06-02 21:35:00,28.6,50,6.1,112,0,0.61,30.3,535,1.17,429,27,200,alta,pastagem,0.8,1
-10.1825,-50.5356,2025-06-02 21:40:00,33.0,22,5.6,98,0,0.59,41.3,609,1.29,450,56,50,media,solo exposto,0.47,0
-10.131,-50.547,2025-06-02 21:45:00,31.1,49,6.9,123,2,0.68,54.4,989,0.84,437,34,150,nenhuma,solo exposto,0.41,0
-10.1799,-50.5958,2025-06-02 21:50:00,36.8,33,5.8,263,0,0.35,32.6,676,1.15,413,37,150,nenhuma,floresta,0.44,0
-10.1464,-50.5032,2025-06-02 21:55:00,39.8,44,4.0,217,0,0.32,43.7,861,0.5,399,56,50,nenhuma,pastagem,0.27,0
-10.1903,-50.5201,2025-06-02 22:00:00,31.1,28,5.7,93,3,0.33,54.5,813,0.65,429,13,0,baixa,pastagem,0.73,0
-10.155,-50.5707,2025-06-02 22:05:00,35.9,34,2.9,247,3,0.57,43.9,794,1.08,389,58,0,nenhuma,floresta,0.45,1
-10.1244,-50.502,2025-06-02 22:10:00,30.4,39,3.1,191,0,0.47,34.7,835,0.61,411,51,90,media,pastagem,0.43,0
-10.1652,-50.5398,2025-06-02 22:15:00,34.8,54,6.5,164,2,0.67,44.6,596,0.9,431,5,50,alta,floresta,0.6,1
-10.1335,-50.5418,2025-06-02 22:20:00,33.6,38,4.1,188,1,0.9,35.1,868,0.32,394,48,0,nenhuma,pastagem,0.47,0
-10.1205,-50.5252,2025-06-02 22:25:00,39.7,28,6.6,161,2,0.53,43.0,712,0.92,382,39,120,nenhuma,floresta,0.59,0
-10.1073,-50.5188,2025-06-02 22:30:00,35.3,40,6.8,92,0,0.64,31.9,816,1.3,416,15,200,nenhuma,pastagem,0.24,0
-10.1765,-50.5344,2025-06-02 22:35:00,32.2,52,7.0,231,3,0.55,45.1,636,1.31,419,38,150,nenhuma,floresta,0.69,1
-10.1601,-50.5872,2025-06-02 22:40:00,29.4,37,7.4,262,2,0.81,42.9,505,1.1,451,20,200,nenhuma,pastagem,0.76,1
-10.1848,-50.5662,2025-06-02 22:45:00,29.8,36,4.0,123,2,0.84,48.5,998,1.13,419,13,0,nenhuma,solo exposto,0.59,1
-10.1008,-50.5072,2025-06-02 22:50:00,30.7,33,3.2,134,3,0.83,45.8,608,0.86,435,36,200,alta,pastagem,0.77,1
-10.1073,-50.5775,2025-06-02 22:55:00,31.0,17,5.1,150,0,0.88,43.7,534,0.9,402,19,0,nenhuma,floresta,0.29,0
-10.146,-50.5628,2025-06-02 23:00:00,38.2,56,3.6,172,3,0.32,47.2,538,0.24,390,16,0,nenhuma,solo exposto,0.49,0
-10.1158,-50.5568,2025-06-02 23:05:00,34.7,33,5.2,212,0,0.8,33.6,649,0.69,443,37,0,alta,pastagem,0.56,1
-10.1479,-50.5561,2025-06-02 23:10:00,34.3,23,5.9,191,1,0.75,44.9,924,0.7,387,49,50,media,solo exposto,0.55,0
-10.1376,-50.5387,2025-06-02 23:15:00,29.4,42,5.8,105,3,0.44,34.3,617,1.44,435,18,0,nenhuma,pastagem,0.44,0
-10.1911,-50.5057,2025-06-02 23:20:00,38.3,34,3.6,155,0,0.87,53.1,760,0.68,439,12,200,baixa,solo exposto,0.4,0
-10.1245,-50.5759,2025-06-02 23:25:00,36.7,59,2.2,257,0,0.39,31.7,925,0.85,389,12,150,nenhuma,floresta,0.28,0
-10.1872,-50.5878,2025-06-02 23:30:00,28.8,21,4.0,234,0,0.71,40.8,586,0.82,418,31,0,media,pastagem,0.44,0
-10.1174,-50.5803,2025-06-02 23:35:00,36.5,28,2.0,208,0,0.43,47.4,964,0.97,407,16,90,media,pastagem,0.3,0
-10.1218,-50.5113,2025-06-02 23:40:00,34.5,23,7.2,251,3,0.56,41.5,575,1.13,428,5,200,baixa,floresta,0.64,0
-10.1291,-50.5354,2025-06-02 23:45:00,29.0,33,3.4,213,0,0.73,32.3,970,0.38,415,47,90,nenhuma,solo exposto,0.33,0
-10.1964,-50.5714,2025-06-02 23:50:00,33.5,28,2.1,233,1,0.64,43.8,963,0.82,392,44,0,media,floresta,0.24,0
-10.1697,-50.5184,2025-06-02 23:55:00,33.8,52,1.2,191,3,0.56,46.0,950,1.25,415,46,90,nenhuma,floresta,0.53,0
-10.1737,-50.5139,2025-06-03 00:00:00,30.0,50,5.5,155,1,0.5,47.6,913,0.72,405,55,90,nenhuma,solo exposto,0.56,1
-10.164,-50.5153,2025-06-03 00:05:00,39.3,54,5.5,102,2,0.8,39.3,812,0.45,383,15,150,nenhuma,floresta,0.72,0
-10.1912,-50.5081,2025-06-03 00:10:00,38.2,31,3.4,200,0,0.39,44.1,882,1.0,443,43,90,nenhuma,pastagem,0.55,0
-10.1063,-50.5748,2025-06-03 00:15:00,36.0,44,1.5,248,0,0.56,41.3,713,1.24,417,47,200,nenhuma,pastagem,0.41,1
-10.1446,-50.5245,2025-06-03 00:20:00,33.5,23,3.9,123,1,0.84,46.8,956,0.14,401,35,0,media,pastagem,0.68,0
-10.1694,-50.5539,2025-06-03 00:25:00,32.9,47,3.2,128,0,0.81,44.6,784,1.18,381,21,90,alta,floresta,0.52,0
-10.1603,-50.5158,2025-06-03 00:30:00,35.8,39,5.7,225,1,0.54,43.1,738,1.24,410,37,120,nenhuma,pastagem,0.25,1
-10.1553,-50.5272,2025-06-03 00:35:00,34.5,28,5.2,209,0,0.76,36.2,664,0.72,390,36,90,nenhuma,pastagem,0.54,0
-10.1399,-50.5224,2025-06-03 00:40:00,28.7,25,3.6,215,3,0.79,30.1,586,1.48,425,33,90,nenhuma,pastagem,0.74,1
-10.1484,-50.5344,2025-06-03 00:45:00,34.2,49,2.5,144,0,0.83,34.4,640,1.19,441,25,0,nenhuma,pastagem,0.44,1
-10.1081,-50.5823,2025-06-03 00:50:00,37.7,55,7.9,116,1,0.63,32.9,659,1.17,448,25,0,nenhuma,pastagem,0.38,1
-10.1503,-50.5455,2025-06-03 00:55:00,33.5,28,4.2,207,1,0.42,41.2,545,1.13,443,44,200,alta,pastagem,0.29,0
-10.1008,-50.5015,2025-06-03 01:00:00,28.6,44,5.8,142,0,0.45,45.3,871,0.27,389,27,0,nenhuma,floresta,0.29,0
-10.1149,-50.5063,2025-06-03 01:05:00,37.4,55,2.0,128,1,0.48,35.3,994,0.36,419,10,0,nenhuma,pastagem,0.46,0
-10.1791,-50.5957,2025-06-03 01:10:00,30.4,18,4.4,154,0,0.66,53.5,611,0.72,403,26,200,nenhuma,pastagem,0.56,0
-10.1069,-50.5835,2025-06-03 01:15:00,31.1,18,1.2,234,1,0.32,30.2,906,0.43,423,54,50,alta,solo exposto,0.25,0
-10.1884,-50.5868,2025-06-03 01:20:00,30.0,42,4.5,247,0,0.68,49.3,544,0.65,439,42,0,media,floresta,0.76,0
-10.1183,-50.5274,2025-06-03 01:25:00,32.0,22,7.7,102,3,0.52,45.6,900,1.34,441,41,120,alta,floresta,0.65,0
-10.1619,-50.5182,2025-06-03 01:30:00,37.1,16,3.7,110,2,0.48,39.3,746,1.25,396,49,0,media,floresta,0.55,0
-10.1122,-50.5786,2025-06-03 01:35:00,34.2,55,1.3,236,0,0.83,31.3,603,0.96,444,55,50,nenhuma,floresta,0.7,0
-10.1132,-50.5494,2025-06-03 01:40:00,30.5,36,1.2,142,0,0.58,45.7,584,1.29,436,58,50,nenhuma,pastagem,0.25,0
-10.1194,-50.5159,2025-06-03 01:45:00,38.5,55,3.7,108,3,0.36,39.6,949,1.19,434,12,50,baixa,pastagem,0.49,1
-10.121,-50.5267,2025-06-03 01:50:00,38.6,30,2.1,146,0,0.8,53.4,984,0.67,432,45,150,nenhuma,solo exposto,0.58,0
-10.1695,-50.5458,2025-06-03 01:55:00,38.4,43,1.2,114,0,0.33,43.5,633,0.34,435,53,0,baixa,solo exposto,0.7,0
-10.1919,-50.541,2025-06-03 02:00:00,30.9,44,6.3,120,2,0.74,53.5,607,0.8,388,39,90,nenhuma,floresta,0.67,1
-10.1597,-50.5492,2025-06-03 02:05:00,33.4,26,4.2,170,3,0.76,35.5,517,1.12,401,55,0,nenhuma,solo exposto,0.37,0
-10.1826,-50.5702,2025-06-03 02:10:00,39.8,49,3.0,112,2,0.51,48.1,593,0.68,392,15,200,baixa,solo exposto,0.76,0
-10.1305,-50.5435,2025-06-03 02:15:00,37.3,25,7.3,121,0,0.79,45.4,649,1.02,427,28,150,baixa,floresta,0.27,0
-10.1654,-50.5311,2025-06-03 02:20:00,28.3,35,1.8,163,0,0.61,48.5,745,0.19,397,53,200,media,floresta,0.73,1
-10.1024,-50.5127,2025-06-03 02:25:00,28.8,35,7.7,99,0,0.58,35.4,788,1.13,455,25,90,nenhuma,solo exposto,0.78,0
-10.1359,-50.5364,2025-06-03 02:30:00,33.6,19,3.2,143,1,0.33,46.6,913,1.23,419,55,90,baixa,pastagem,0.31,0
-10.1178,-50.5239,2025-06-03 02:35:00,38.9,34,7.2,141,0,0.47,42.5,708,1.07,396,6,120,nenhuma,solo exposto,0.63,0
-10.1867,-50.584,2025-06-03 02:40:00,34.5,51,5.2,237,3,0.86,48.6,625,1.45,394,44,50,nenhuma,solo exposto,0.22,1
-10.1138,-50.5538,2025-06-03 02:45:00,34.0,17,6.8,249,1,0.54,38.2,734,1.25,394,23,0,nenhuma,pastagem,0.44,0
-10.1077,-50.5991,2025-06-03 02:50:00,29.3,58,7.9,203,0,0.63,52.3,915,1.36,458,43,120,nenhuma,pastagem,0.51,0
-10.1513,-50.5753,2025-06-03 02:55:00,35.9,47,3.0,103,2,0.62,32.1,925,1.4,442,32,0,nenhuma,floresta,0.55,1
-10.1394,-50.5274,2025-06-03 03:00:00,37.9,23,7.7,267,1,0.65,50.2,998,1.21,418,21,150,nenhuma,floresta,0.76,0
-10.1235,-50.5008,2025-06-03 03:05:00,32.6,23,3.7,245,2,0.34,51.5,961,1.03,392,10,150,nenhuma,solo exposto,0.6,1
-10.1825,-50.5901,2025-06-03 03:10:00,37.3,18,3.7,199,1,0.52,50.4,621,0.06,411,23,0,nenhuma,pastagem,0.49,0
-10.1497,-50.5599,2025-06-03 03:15:00,39.6,49,3.4,142,0,0.73,42.8,637,0.73,388,42,90,nenhuma,floresta,0.69,1
-10.1601,-50.52,2025-06-03 03:20:00,30.4,31,4.8,241,0,0.42,41.0,994,0.88,419,32,200,nenhuma,solo exposto,0.77,0
-10.1854,-50.5796,2025-06-03 03:25:00,34.3,48,2.1,168,0,0.42,54.9,614,0.49,399,6,150,nenhuma,pastagem,0.21,1
-10.1632,-50.5445,2025-06-03 03:30:00,31.4,38,4.9,111,0,0.31,35.7,919,0.51,456,42,0,baixa,solo exposto,0.79,1
-10.1932,-50.5267,2025-06-03 03:35:00,37.5,46,4.8,119,0,0.56,43.7,661,1.44,459,59,150,nenhuma,floresta,0.25,0
-10.1974,-50.5384,2025-06-03 03:40:00,34.9,15,6.3,93,2,0.83,46.8,700,1.34,452,41,150,nenhuma,floresta,0.69,0
-10.1865,-50.5812,2025-06-03 03:45:00,35.6,22,6.8,148,3,0.33,47.5,733,1.28,442,55,50,nenhuma,pastagem,0.37,0
-10.1037,-50.5645,2025-06-03 03:50:00,37.6,59,4.1,97,0,0.41,35.1,527,0.64,455,56,0,baixa,solo exposto,0.28,0
-10.145,-50.5216,2025-06-03 03:55:00,32.8,37,3.1,101,1,0.49,46.3,510,0.07,423,8,50,alta,pastagem,0.46,0
-10.1034,-50.5446,2025-06-03 04:00:00,39.0,54,2.8,208,0,0.74,50.5,705,0.17,417,26,0,media,floresta,0.59,0
-10.1568,-50.5995,2025-06-03 04:05:00,34.4,26,2.4,248,2,0.68,31.3,666,0.5,439,30,150,media,floresta,0.43,0
-10.1688,-50.5239,2025-06-03 04:10:00,29.9,26,1.4,123,0,0.55,52.8,746,0.07,450,53,120,nenhuma,solo exposto,0.23,0
-10.1494,-50.5965,2025-06-03 04:15:00,36.4,29,3.4,171,2,0.76,30.7,546,0.07,427,47,200,baixa,solo exposto,0.56,0
-10.156,-50.5254,2025-06-03 04:20:00,37.5,55,2.9,187,0,0.67,38.9,745,1.38,397,40,90,baixa,solo exposto,0.74,1
-10.1894,-50.5798,2025-06-03 04:25:00,31.8,33,7.8,216,0,0.84,30.4,626,1.07,395,17,150,nenhuma,pastagem,0.43,0
-10.1359,-50.5042,2025-06-03 04:30:00,38.3,40,4.9,164,1,0.79,31.9,646,0.5,434,56,0,nenhuma,solo exposto,0.33,0
-10.1784,-50.5632,2025-06-03 04:35:00,38.9,43,3.4,194,2,0.45,52.8,617,0.24,418,36,0,nenhuma,solo exposto,0.47,0
-10.138,-50.5673,2025-06-03 04:40:00,31.3,36,5.1,138,1,0.46,38.9,898,0.79,447,21,0,alta,floresta,0.23,0
-10.135,-50.5851,2025-06-03 04:45:00,39.8,54,2.0,168,1,0.38,40.6,881,0.06,438,45,150,baixa,floresta,0.69,0
-10.1848,-50.5694,2025-06-03 04:50:00,29.7,35,4.1,182,0,0.5,35.4,911,1.41,441,40,0,media,solo exposto,0.7,0
-10.1939,-50.5123,2025-06-03 04:55:00,30.4,52,5.4,243,1,0.9,44.9,651,0.65,392,59,120,nenhuma,solo exposto,0.55,0
-10.1219,-50.5004,2025-06-03 05:00:00,30.2,34,4.4,107,0,0.54,44.9,571,0.63,385,50,0,nenhuma,floresta,0.41,1
-10.154,-50.5632,2025-06-03 05:05:00,38.7,43,3.8,185,0,0.43,39.3,862,0.62,456,23,90,nenhuma,solo exposto,0.68,0
-10.1942,-50.5551,2025-06-03 05:10:00,35.9,18,8.0,127,2,0.76,38.3,636,0.15,439,39,150,nenhuma,pastagem,0.53,1
